Hour,Minute,Seconds,Latitude deg*10001750/90,Longitude deg*65536*65536/360,Altitude meters,Current mass slugs,TAT degCelsius*256,IAS kts*128,Prop1 thrust lbf,Pitch deg*(-1)*65536*65536/360,Incidence Alpha rad,Incidence Beta rad,Dynamic pressure lbf_sqft,Ambient pressure hPa,Ambient temperature degCelsius,Bank angle deg*65536*65536/360,Heading deg*65536*65536/360,Variometer reading (TAS z body) ft_sec,Engine N1% *65536/N1scaler,Engine N1scaler,Empty weight lbs*256,Payload weight lbs*256,Reciprocating engine power hp*550
0238,0239,023A,0564,056C,0574,30C8,11D0,02BC,2410,0578,2ED0,2ED8,30D8,3498,34A8,057C,0580,3188,0898,08C8,1330,1400,3820
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
15,0,15,4705968,16907663,801,71.7347831120891,2004,1898,16.3285906505689,-21458012,0.0313896650836608,0,0.745103297581,920.749694824219,7.78157663345337,153250,-1676230075,-0.813861908065602,3417,10792,422400,0,1045.54099099132
